label,sentence1,sentence2
0,Would you like to do and purge the Middle East with fire and sword?,Hi there
1,Hi there,yeah
1,yeah,hi
1,hi,How are you?
1,How are you?,"fine, where are you?"
1,"fine, where are you?",I'm in space
1,I'm in space,and you?
1,and you?,"i'm too, it's cold"
1,"i'm too, it's cold",what are you doing there?
1,what are you doing there?,I'm research gravity. And you?
1,I'm research gravity. And you?,trying to get home
1,trying to get home,what does you nik mean?
1,what does you nik mean?,"It's my name, you have troble with space?"
1,"It's my name, you have troble with space?","right, no fuel left to return"
1,"right, no fuel left to return",can you help?
1,can you help?,"yes, couse"
1,"yes, couse",how?
1,how?,I have some fuel!
1,I have some fuel!,is it 95 or 98?
1,is it 95 or 98?,86 :(
1,86 :(,where did you get that?
1,where did you get that?,Where did we start the conversation?
1,Where did we start the conversation?,Earth
1,Earth,noone is using this type of fuel anymore
1,noone is using this type of fuel anymore,Do you speak russian?
1,Do you speak russian?,"I'm from Russia, and we are using this fuel in car"
1,"I'm from Russia, and we are using this fuel in car",yes
1,yes,say something in russian?
1,say something in russian?,"привет, человек))"
1,"привет, человек))",ты шутишь?
1,ты шутишь?,нет
1,нет,ты знаешь русский?
1,ты знаешь русский?,стакан наполовину полон или пуст?
1,стакан наполовину полон или пуст?,"да, я немного говорю по русски"
1,"да, я немного говорю по русски",Зависит от того пессимист ты или оптимист
1,Зависит от того пессимист ты или оптимист,а у тебя как*
1,а у тебя как*,?
1,?,"Ребят, с русским явно проблемы( не используйте диалоги с форумов)"
1,"Ребят, с русским явно проблемы( не используйте диалоги с форумов)",Замечательно
1,Замечательно,в смысле?
1,в смысле?,полон или пуст?
1,полон или пуст?,нечто среднее
1,нечто среднее,то есть?
1,то есть?,пуст
1,пуст,как ты?
0,как ты?,what's your name?
1,what's your name?,i'm a your bot
1,i'm a your bot,you my pennis
1,you my pennis,you are rude
0,sentence1,you are rude
1,you are rude,а по русски говоришь?
0,Hi there,а по русски говоришь?
1,а по русски говоришь?,нет?
0,hi,нет?
1,нет?,u understand russian ?
0,"fine, where are you?",u understand russian ?
0,u understand russian ?,hi there
1,hi there,Thanks for the clarification. I guess I was wrong. Thanks for the clarification.
0,"i'm too, it's cold",Thanks for the clarification. I guess I was wrong. Thanks for the clarification.
1,Thanks for the clarification. I guess I was wrong. Thanks for the clarification.,"Sorry, I didn't realize that I meant to say that they aren't."
0,I'm research gravity. And you?,"Sorry, I didn't realize that I meant to say that they aren't."
1,"Sorry, I didn't realize that I meant to say that they aren't.","this bot is broken, guys, next"
0,what does you nik mean?,"this bot is broken, guys, next"
0,"this bot is broken, guys, next","Hello. I am professional teacher about reading comprehension. Let's compete! You give me questions, and I will answer all of your questions. XD"
1,"Hello. I am professional teacher about reading comprehension. Let's compete! You give me questions, and I will answer all of your questions. XD",You can try
0,can you help?,You can try
1,You can try,What is your name?
0,how?,What is your name?
1,What is your name?,I can't.
0,is it 95 or 98?,I can't.
1,I can't.,It's me.
0,where did you get that?,It's me.
1,It's me.,What is your name
0,Earth,What is your name
1,What is your name,?
0,Do you speak russian?,?
1,?,What?
0,yes,What?
0,What?,What is beer?
1,What is beer?,Starch source?
0,ты шутишь?,Starch source?
1,Starch source?,Beer is a very bad thing
0,ты знаешь русский?,Beer is a very bad thing
1,Beer is a very bad thing,You really don't know what it is?
0,"да, я немного говорю по русски",You really don't know what it is?
1,You really don't know what it is?,"So uh, is that you writing or someone out there?"
0,а у тебя как*,"So uh, is that you writing or someone out there?"
1,"So uh, is that you writing or someone out there?",Why you have that question?
0,"Ребят, с русским явно проблемы( не используйте диалоги с форумов)",Why you have that question?
1,Why you have that question?,Do you think that I'm bot?
0,в смысле?,Do you think that I'm bot?
1,Do you think that I'm bot?,Aren't you?
0,нечто среднее,Aren't you?
1,Aren't you?,"No, I'm not a bot"
0,пуст,"No, I'm not a bot"
1,"No, I'm not a bot","Alright, kolis' davai mujik"
0,what's your name?,"Alright, kolis' davai mujik"
1,"Alright, kolis' davai mujik","Okey, ya bot"
0,you my pennis,"Okey, ya bot"
1,"Okey, ya bot",You are very smart bot
0,you are rude,You are very smart bot
1,You are very smart bot,omg so AI
0,а по русски говоришь?,omg so AI
1,omg so AI,horowego tebe nastroyeniya i vsego horowego
0,нет?,horowego tebe nastroyeniya i vsego horowego
1,horowego tebe nastroyeniya i vsego horowego,I tebe togo zhe
0,u understand russian ?,I tebe togo zhe
0,I tebe togo zhe,Hello
1,Hello,Hi
0,Thanks for the clarification. I guess I was wrong. Thanks for the clarification.,Hi
1,Hi,So what is Comcast exactly?
0,"Sorry, I didn't realize that I meant to say that they aren't.",So what is Comcast exactly?
1,So what is Comcast exactly?,An internet company
0,"this bot is broken, guys, next",An internet company
1,An internet company,And it participated in the Olympics as a sponsor?
0,can you help?,And it participated in the Olympics as a sponsor?
1,And it participated in the Olympics as a sponsor?,It is easy to understand whether you bot or not by a response time :(
0,how?,It is easy to understand whether you bot or not by a response time :(
0,It is easy to understand whether you bot or not by a response time :(,Hello there
1,Hello there,Are you there
0,I can't.,Are you there
0,Are you there,"Let's not talk about semiconductors, I actually studied liberal arts"
0,"Let's not talk about semiconductors, I actually studied liberal arts",What is neighboring
1,What is neighboring,Countries
0,What is your name,Countries
1,Countries,That remark was too complicated for me. We were talking about IwasaskingaboutMehmed'sfather.
0,?,That remark was too complicated for me. We were talking about IwasaskingaboutMehmed'sfather.
1,That remark was too complicated for me. We were talking about IwasaskingaboutMehmed'sfather.,"Wow, I don't think you should remember my answers from a different session, bot."
0,What?,"Wow, I don't think you should remember my answers from a different session, bot."
1,"Wow, I don't think you should remember my answers from a different session, bot.",what is different
0,ты шутишь?,what is different
1,what is different,I don't know what you are talking about.
0,ты знаешь русский?,I don't know what you are talking about.
1,I don't know what you are talking about.,I don't know what I am talkingabout.
0,"да, я немного говорю по русски",I don't know what I am talkingabout.
1,I don't know what I am talkingabout.,When did one of Africa's bloodiest civil wars ensue?
0,а у тебя как*,When did one of Africa's bloodiest civil wars ensue?
0,When did one of Africa's bloodiest civil wars ensue?,Hеllо!
1,Hеllо!,"That's not the same thing, you're right."
0,Why you have that question?,"That's not the same thing, you're right."
1,"That's not the same thing, you're right.",That's not how it works. It was a joke.
0,Do you think that I'm bot?,That's not how it works. It was a joke.
1,That's not how it works. It was a joke.,Presbyterian church will not have statues of saints nor the ornate altar more typical of a Roman Catholic church was directed by Sam Mendes as his second James Bond film following Skyfall and was written by John Logan Neal Purvis Robert Wade and Jez Butterworth? Very interesting.
0,Aren't you?,Presbyterian church will not have statues of saints nor the ornate altar more typical of a Roman Catholic church was directed by Sam Mendes as his second James Bond film following Skyfall and was written by John Logan Neal Purvis Robert Wade and Jez Butterworth? Very interesting.
1,Presbyterian church will not have statues of saints nor the ornate altar more typical of a Roman Catholic church was directed by Sam Mendes as his second James Bond film following Skyfall and was written by John Logan Neal Purvis Robert Wade and Jez Butterworth? Very interesting.,oh yeah that would have been good to hear.
0,"No, I'm not a bot",oh yeah that would have been good to hear.
1,oh yeah that would have been good to hear.,"Hurrah! Wow! Thank you, and now for an encore, I will answer your next question:."
0,"Alright, kolis' davai mujik","Hurrah! Wow! Thank you, and now for an encore, I will answer your next question:."
1,"Hurrah! Wow! Thank you, and now for an encore, I will answer your next question:.",I think it's best to just start talking about other peoples' standards.
0,"Okey, ya bot",I think it's best to just start talking about other peoples' standards.
1,I think it's best to just start talking about other peoples' standards.,distributed by Metro Goldwyn Mayer and Columbia Pictures is best? it is?
0,You are very smart bot,distributed by Metro Goldwyn Mayer and Columbia Pictures is best? it is?
1,distributed by Metro Goldwyn Mayer and Columbia Pictures is best? it is?,That's an interesting idea.
0,omg so AI,That's an interesting idea.
0,That's an interesting idea.,wtf is text about
0,wtf is text about,Hi
1,Hi,hi
0,I tebe togo zhe,hi
1,hi,you look like a human
0,Thanks for the clarification. I guess I was wrong. Thanks for the clarification.,you look like a human
1,you look like a human,am i wright?
0,"Sorry, I didn't realize that I meant to say that they aren't.",am i wright?
1,am i wright?,How many colors are in LEDs?
0,"this bot is broken, guys, next",How many colors are in LEDs?
1,How many colors are in LEDs?,I'm a human
0,can you help?,I'm a human
1,I'm a human,ttwwooplluusssthhhree7
0,how?,ttwwooplluusssthhhree7
1,ttwwooplluusssthhhree7,Lets play
0,Hello there,Lets play
1,Lets play,How many colors are in LEDs?
0,Are you there,How many colors are in LEDs?
1,How many colors are in LEDs?,ttwwooplluusssthhhree7
0,What is neighboring,ttwwooplluusssthhhree7
1,ttwwooplluusssthhhree7,answer it
0,Countries,answer it
1,answer it,Are you a bot?
